prompt,completion
"Generate a name for a thunder sword with the following properties: legendary, cursed",Glaive of terrifying presence
Write a description for a weapon called 'Glaive of terrifying presence',"A sword of exceptional sharpness, howls with the voices of past victims upon its enemies."
Generate a fantasy weapon of type: sword,"Name: Glaive of terrifying presence
Damage Type: Thunder
Damage: 3d10
Properties: Legendary, Cursed
Description: A sword of exceptional sharpness, howls with the voices of past victims upon its enemies."
"Generate a name for a radiant longsword with the following properties: runic, legendary",The Mystic Lance
Write a description for a weapon called 'The Mystic Lance',Legend says this longsword was stolen from the armory of demons. It summons spectral allies in battle.
Generate a fantasy weapon of type: longsword,"Name: The Mystic Lance
Damage Type: Radiant
Damage: 2d8
Properties: Runic, Legendary
Description: Legend says this longsword was stolen from the armory of demons. It summons spectral allies in battle."
"Generate a name for a ice shortbow with the following properties: elemental, spectral",Vortex Blade
Write a description for a weapon called 'Vortex Blade',Legend says this shortbow was carved from a single crystal. It marks enemies for hunting. A thin layer of frost covers the weapon at all times.
Generate a fantasy weapon of type: shortbow,"Name: Vortex Blade
Damage Type: Ice
Damage: 1d6
Properties: Elemental, Spectral
Description: Legend says this shortbow was carved from a single crystal. It marks enemies for hunting. A thin layer of frost covers the weapon at all times."
"Generate a name for a necrotic shortbow with the following properties: corrupted, mythical, blessed",Shortbow of terrifying presence
Write a description for a weapon called 'Shortbow of terrifying presence',"Forged in the depths of the Frozen Wastes, this shortbow burns with eternal flames."
Generate a fantasy weapon of type: shortbow,"Name: Shortbow of terrifying presence
Damage Type: Necrotic
Damage: 3d10
Properties: Corrupted, Mythical, Blessed
Description: Forged in the depths of the Frozen Wastes, this shortbow burns with eternal flames."
"Generate a name for a nature greatsword with the following properties: cursed, enchanted, blessed",The Lunar Shortbow
Write a description for a weapon called 'The Lunar Shortbow',This greatsword freezes the air around it when facing overwhelming odds.
Generate a fantasy weapon of type: greatsword,"Name: The Lunar Shortbow
Damage Type: Nature
Damage: 2d6
Properties: Cursed, Enchanted, Blessed
Description: This greatsword freezes the air around it when facing overwhelming odds."
"Generate a name for a blood longbow with the following properties: mythical, ancient",The Hallowed Longsword
Write a description for a weapon called 'The Hallowed Longsword',"Wielded long ago by the Last Dragon, this longbow never misses its target."
Generate a fantasy weapon of type: longbow,"Name: The Hallowed Longsword
Damage Type: Blood
Damage: 1d12
Properties: Mythical, Ancient
Description: Wielded long ago by the Last Dragon, this longbow never misses its target."
"Generate a name for a shadow trident with the following properties: ethereal, balanced, sharpened",Quartz Axe
Write a description for a weapon called 'Quartz Axe',"A trident of mysterious origins, heals the wielder with each strike upon its enemies. The weapon seems to absorb light from its surroundings."
Generate a fantasy weapon of type: trident,"Name: Quartz Axe
Damage Type: Shadow
Damage: 2d10
Properties: Ethereal, Balanced, Sharpened
Description: A trident of mysterious origins, heals the wielder with each strike upon its enemies. The weapon seems to absorb light from its surroundings."
"Generate a name for a holy wand with the following properties: enchanted, ethereal",Warden's Halberd of Flames
Write a description for a weapon called 'Warden's Halberd of Flames',"Queen Elyndra's favored wand, known to absorbs spells cast at the wielder."
Generate a fantasy weapon of type: wand,"Name: Warden's Halberd of Flames
Damage Type: Holy
Damage: 3d10
Properties: Enchanted, Ethereal
Description: Queen Elyndra's favored wand, known to absorbs spells cast at the wielder."
Generate a name for a shadow spear with the following properties: sentient,Greataxe of Shadows
Write a description for a weapon called 'Greataxe of Shadows',"Wielded long ago by the Twilight Assassin, this spear grants visions of the future. The weapon seems to absorb light from its surroundings."
Generate a fantasy weapon of type: spear,"Name: Greataxe of Shadows
Damage Type: Shadow
Damage: 3d6
Properties: Sentient
Description: Wielded long ago by the Twilight Assassin, this spear grants visions of the future. The weapon seems to absorb light from its surroundings."
Generate a name for a nature sword with the following properties: vampiric,Vortex Greatsword of Light
Write a description for a weapon called 'Vortex Greatsword of Light',"A sword made from the bones of a god, it reveals invisible creatures with every strike."
Generate a fantasy weapon of type: sword,"Name: Vortex Greatsword of Light
Damage Type: Nature
Damage: 3d4
Properties: Vampiric
Description: A sword made from the bones of a god, it reveals invisible creatures with every strike."
Generate a name for a chaos longbow with the following properties: ,The Havoc Bow
Write a description for a weapon called 'The Havoc Bow',Legend says this longbow was created by ancient elven smiths. It heals the wielder with each strike.
Generate a fantasy weapon of type: longbow,"Name: The Havoc Bow
Damage Type: Chaos
Damage: 1d12
Properties: 
Description: Legend says this longbow was created by ancient elven smiths. It heals the wielder with each strike."
Generate a name for a psychic halberd with the following properties: sentient,Dagger of Conquest
Write a description for a weapon called 'Dagger of Conquest',This halberd leaves shadowy trails when swung when wielded with courage.
Generate a fantasy weapon of type: halberd,"Name: Dagger of Conquest
Damage Type: Psychic
Damage: 3d12
Properties: Sentient
Description: This halberd leaves shadowy trails when swung when wielded with courage."
Generate a name for a ice falchion with the following properties: ,Mace of the Elements
Write a description for a weapon called 'Mace of the Elements',"A falchion grown from a magical seed, it binds victims in ghostly chains with every strike. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: falchion,"Name: Mace of the Elements
Damage Type: Ice
Damage: 1d10
Properties: 
Description: A falchion grown from a magical seed, it binds victims in ghostly chains with every strike. A thin layer of frost covers the weapon at all times."
Generate a name for a acid hammer with the following properties: ancient,Trident of demonic corruption
Write a description for a weapon called 'Trident of demonic corruption',"A hammer made from the bones of a god, it creates illusions to confuse foes with every strike."
Generate a fantasy weapon of type: hammer,"Name: Trident of demonic corruption
Damage Type: Acid
Damage: 2d10
Properties: Ancient
Description: A hammer made from the bones of a god, it creates illusions to confuse foes with every strike."
"Generate a name for a void flail with the following properties: vampiric, spectral",Quicksilver Falchion of Despair
Write a description for a weapon called 'Quicksilver Falchion of Despair',Legend says this flail was crafted from a fallen star. It cleaves through reality itself.
Generate a fantasy weapon of type: flail,"Name: Quicksilver Falchion of Despair
Damage Type: Void
Damage: 1d12
Properties: Vampiric, Spectral
Description: Legend says this flail was crafted from a fallen star. It cleaves through reality itself."
"Generate a name for a chaos pike with the following properties: ancient, ethereal",Warden's Falchion
Write a description for a weapon called 'Warden's Falchion',"King Thoran's favored pike, known to reveals invisible creatures."
Generate a fantasy weapon of type: pike,"Name: Warden's Falchion
Damage Type: Chaos
Damage: 2d4
Properties: Ancient, Ethereal
Description: King Thoran's favored pike, known to reveals invisible creatures."
Generate a name for a blood greatsword with the following properties: ,Crossbow of demonic corruption
Write a description for a weapon called 'Crossbow of demonic corruption',"Forged in the depths of Celestial Kingdoms, this greatsword whispers dark secrets."
Generate a fantasy weapon of type: greatsword,"Name: Crossbow of demonic corruption
Damage Type: Blood
Damage: 2d12
Properties: 
Description: Forged in the depths of Celestial Kingdoms, this greatsword whispers dark secrets."
"Generate a name for a psychic sword with the following properties: cursed, enchanted, blessed",Onyx Halberd
Write a description for a weapon called 'Onyx Halberd',"A sword of demonic corruption, grows in power during the night upon its enemies."
Generate a fantasy weapon of type: sword,"Name: Onyx Halberd
Damage Type: Psychic
Damage: 2d8
Properties: Cursed, Enchanted, Blessed
Description: A sword of demonic corruption, grows in power during the night upon its enemies."
"Generate a name for a acid rapier with the following properties: vorpal, spectral",Lunar Scythe
Write a description for a weapon called 'Lunar Scythe',This rapier shifts its form slightly when bathed in moonlight.
Generate a fantasy weapon of type: rapier,"Name: Lunar Scythe
Damage Type: Acid
Damage: 3d8
Properties: Vorpal, Spectral
Description: This rapier shifts its form slightly when bathed in moonlight."
Generate a name for a chaos glaive with the following properties: ,The Tempest Glaive
Write a description for a weapon called 'The Tempest Glaive',"the Demon Prince's favored glaive, known to leaves trails of elemental energy."
Generate a fantasy weapon of type: glaive,"Name: The Tempest Glaive
Damage Type: Chaos
Damage: 1d6
Properties: 
Description: the Demon Prince's favored glaive, known to leaves trails of elemental energy."
Generate a name for a ice trident with the following properties: vampiric,The Undying Glaive
Write a description for a weapon called 'The Undying Glaive',"When facing demons or undead, this trident binds the souls of those it slays. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: trident,"Name: The Undying Glaive
Damage Type: Ice
Damage: 3d8
Properties: Vampiric
Description: When facing demons or undead, this trident binds the souls of those it slays. A thin layer of frost covers the weapon at all times."
"Generate a name for a radiant wand with the following properties: balanced, berserker",Oracle Maul
Write a description for a weapon called 'Oracle Maul',"When during a storm, this wand ignites enemies on contact."
Generate a fantasy weapon of type: wand,"Name: Oracle Maul
Damage Type: Radiant
Damage: 3d4
Properties: Balanced, Berserker
Description: When during a storm, this wand ignites enemies on contact."
"Generate a name for a fire staff with the following properties: ethereal, mythical",Onyx Katana
Write a description for a weapon called 'Onyx Katana',"This staff hums an ancient melody, making it unparalleled balance. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: staff,"Name: Onyx Katana
Damage Type: Fire
Damage: 3d12
Properties: Ethereal, Mythical
Description: This staff hums an ancient melody, making it unparalleled balance. The weapon radiates heat and occasionally bursts into flames."
Generate a name for a radiant mace with the following properties: ,The Celestial Flail
Write a description for a weapon called 'The Celestial Flail',"A mace of unspeakable power, howls with the voices of past victims upon its enemies."
Generate a fantasy weapon of type: mace,"Name: The Celestial Flail
Damage Type: Radiant
Damage: 3d6
Properties: 
Description: A mace of unspeakable power, howls with the voices of past victims upon its enemies."
Generate a name for a holy bow with the following properties: ,Longsword of Vengeance
Write a description for a weapon called 'Longsword of Vengeance',"A bow of boundless rage, disrupts magical barriers upon its enemies."
Generate a fantasy weapon of type: bow,"Name: Longsword of Vengeance
Damage Type: Holy
Damage: 3d12
Properties: 
Description: A bow of boundless rage, disrupts magical barriers upon its enemies."
Generate a name for a thunder katana with the following properties: vampiric,Staff of haunting beauty
Write a description for a weapon called 'Staff of haunting beauty',"A katana recovered from the depths of the sea, it causes foes to flee in terror with every strike."
Generate a fantasy weapon of type: katana,"Name: Staff of haunting beauty
Damage Type: Thunder
Damage: 3d8
Properties: Vampiric
Description: A katana recovered from the depths of the sea, it causes foes to flee in terror with every strike."
"Generate a name for a blood bow with the following properties: enchanted, elemental",Dragon Spear
Write a description for a weapon called 'Dragon Spear',This bow radiates with celestial power when wielded by one of pure heart.
Generate a fantasy weapon of type: bow,"Name: Dragon Spear
Damage Type: Blood
Damage: 3d12
Properties: Enchanted, Elemental
Description: This bow radiates with celestial power when wielded by one of pure heart."
"Generate a name for a void spear with the following properties: soulbound, mythical",Shadow Dagger of the Abyss
Write a description for a weapon called 'Shadow Dagger of the Abyss',This spear leaves shadowy trails when swung when wielded with hatred.
Generate a fantasy weapon of type: spear,"Name: Shadow Dagger of the Abyss
Damage Type: Void
Damage: 2d10
Properties: Soulbound, Mythical
Description: This spear leaves shadowy trails when swung when wielded with hatred."
"Generate a name for a acid blade with the following properties: mythical, enchanted",Thunder Crossbow of Glory
Write a description for a weapon called 'Thunder Crossbow of Glory',"Forged in the depths of the Frozen Wastes, this blade glows with divine light."
Generate a fantasy weapon of type: blade,"Name: Thunder Crossbow of Glory
Damage Type: Acid
Damage: 1d6
Properties: Mythical, Enchanted
Description: Forged in the depths of the Frozen Wastes, this blade glows with divine light."
Generate a name for a shadow katana with the following properties: cursed,Yttrium Crossbow
Write a description for a weapon called 'Yttrium Crossbow',"Said to have belonged to the Demon Prince, this katana never misses its target."
Generate a fantasy weapon of type: katana,"Name: Yttrium Crossbow
Damage Type: Shadow
Damage: 2d10
Properties: Cursed
Description: Said to have belonged to the Demon Prince, this katana never misses its target."
"Generate a name for a necrotic halberd with the following properties: sentient, ethereal, sharpened",Katana of boundless rage
Write a description for a weapon called 'Katana of boundless rage',"A halberd assembled during a celestial alignment, it reveals invisible creatures with every strike."
Generate a fantasy weapon of type: halberd,"Name: Katana of boundless rage
Damage Type: Necrotic
Damage: 3d10
Properties: Sentient, Ethereal, Sharpened
Description: A halberd assembled during a celestial alignment, it reveals invisible creatures with every strike."
"Generate a name for a fire hammer with the following properties: soulbound, balanced",Infernal Pike
Write a description for a weapon called 'Infernal Pike',"A hammer assembled during a celestial alignment, it leaves trails of elemental energy with every strike. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: hammer,"Name: Infernal Pike
Damage Type: Fire
Damage: 2d6
Properties: Soulbound, Balanced
Description: A hammer assembled during a celestial alignment, it leaves trails of elemental energy with every strike. The weapon radiates heat and occasionally bursts into flames."
Generate a name for a physical flail with the following properties: runic,Rapier of perfect weight
Write a description for a weapon called 'Rapier of perfect weight',"This flail drains life from those it cuts, making it perfect weight."
Generate a fantasy weapon of type: flail,"Name: Rapier of perfect weight
Damage Type: Physical
Damage: 2d12
Properties: Runic
Description: This flail drains life from those it cuts, making it perfect weight."
Generate a name for a physical blade with the following properties: ,Nether Scythe
Write a description for a weapon called 'Nether Scythe',"This blade radiates with celestial power, making it perfect weight."
Generate a fantasy weapon of type: blade,"Name: Nether Scythe
Damage Type: Physical
Damage: 1d12
Properties: 
Description: This blade radiates with celestial power, making it perfect weight."
"Generate a name for a acid claymore with the following properties: elemental, legendary, mythical",Aegis Flail
Write a description for a weapon called 'Aegis Flail',This claymore whispers dark secrets when wielded with courage.
Generate a fantasy weapon of type: claymore,"Name: Aegis Flail
Damage Type: Acid
Damage: 1d10
Properties: Elemental, Legendary, Mythical
Description: This claymore whispers dark secrets when wielded with courage."
Generate a name for a fire blade with the following properties: corrupted,Glaive of haunting beauty
Write a description for a weapon called 'Glaive of haunting beauty',"the Dread Pirate Nex's favored blade, known to drains the magic from spellcasters. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: blade,"Name: Glaive of haunting beauty
Damage Type: Fire
Damage: 1d10
Properties: Corrupted
Description: the Dread Pirate Nex's favored blade, known to drains the magic from spellcasters. The weapon radiates heat and occasionally bursts into flames."
"Generate a name for a psychic falchion with the following properties: sharpened, balanced",Lance of Judgment
Write a description for a weapon called 'Lance of Judgment',"When wielded with courage, this falchion never misses its target."
Generate a fantasy weapon of type: falchion,"Name: Lance of Judgment
Damage Type: Psychic
Damage: 3d6
Properties: Sharpened, Balanced
Description: When wielded with courage, this falchion never misses its target."
"Generate a name for a force claymore with the following properties: balanced, runic",Radiant Falchion of Doom
Write a description for a weapon called 'Radiant Falchion of Doom',"When bathed in moonlight, this claymore reveals hidden enemies."
Generate a fantasy weapon of type: claymore,"Name: Radiant Falchion of Doom
Damage Type: Force
Damage: 3d6
Properties: Balanced, Runic
Description: When bathed in moonlight, this claymore reveals hidden enemies."
"Generate a name for a ice greataxe with the following properties: enchanted, sharpened",Venom Longsword
Write a description for a weapon called 'Venom Longsword',Legend says this greataxe was grown from a magical seed. It absorbs spells cast at the wielder. A thin layer of frost covers the weapon at all times.
Generate a fantasy weapon of type: greataxe,"Name: Venom Longsword
Damage Type: Ice
Damage: 1d8
Properties: Enchanted, Sharpened
Description: Legend says this greataxe was grown from a magical seed. It absorbs spells cast at the wielder. A thin layer of frost covers the weapon at all times."
Generate a name for a force sword with the following properties: vorpal,Phantom Pike of Light
Write a description for a weapon called 'Phantom Pike of Light',"Forged in the depths of the Frozen Wastes, this sword sends shivers down one's spine."
Generate a fantasy weapon of type: sword,"Name: Phantom Pike of Light
Damage Type: Force
Damage: 3d6
Properties: Vorpal
Description: Forged in the depths of the Frozen Wastes, this sword sends shivers down one's spine."
"Generate a name for a ice lance with the following properties: ethereal, ancient, sharpened",Bow of boundless rage
Write a description for a weapon called 'Bow of boundless rage',"Said to have belonged to Captain Silverhand, this lance freezes foes with a touch. A thin layer of frost covers the weapon at all times."
Generate a fantasy weapon of type: lance,"Name: Bow of boundless rage
Damage Type: Ice
Damage: 2d8
Properties: Ethereal, Ancient, Sharpened
Description: Said to have belonged to Captain Silverhand, this lance freezes foes with a touch. A thin layer of frost covers the weapon at all times."
Generate a name for a shadow glaive with the following properties: spectral,Undying Halberd of Oblivion
Write a description for a weapon called 'Undying Halberd of Oblivion',"A glaive of boundless rage, binds victims in ghostly chains upon its enemies."
Generate a fantasy weapon of type: glaive,"Name: Undying Halberd of Oblivion
Damage Type: Shadow
Damage: 2d12
Properties: Spectral
Description: A glaive of boundless rage, binds victims in ghostly chains upon its enemies."
"Generate a name for a psychic falchion with the following properties: runic, blessed, spectral",Quicksilver Lance
Write a description for a weapon called 'Quicksilver Lance',This falchion freezes the air around it when in the presence of magic.
Generate a fantasy weapon of type: falchion,"Name: Quicksilver Lance
Damage Type: Psychic
Damage: 3d4
Properties: Runic, Blessed, Spectral
Description: This falchion freezes the air around it when in the presence of magic."
Generate a name for a lightning scythe with the following properties: spectral,Lance of Conquest
Write a description for a weapon called 'Lance of Conquest',"Wielded long ago by King Thoran, this scythe strikes with the force of lightning. Small sparks dance across the surface when wielded."
Generate a fantasy weapon of type: scythe,"Name: Lance of Conquest
Damage Type: Lightning
Damage: 1d10
Properties: Spectral
Description: Wielded long ago by King Thoran, this scythe strikes with the force of lightning. Small sparks dance across the surface when wielded."
"Generate a name for a arcane glaive with the following properties: ethereal, legendary, balanced",Glaive of the Elements
Write a description for a weapon called 'Glaive of the Elements',Legend says this glaive was stolen from the armory of demons. It leaves trails of elemental energy.
Generate a fantasy weapon of type: glaive,"Name: Glaive of the Elements
Damage Type: Arcane
Damage: 2d4
Properties: Ethereal, Legendary, Balanced
Description: Legend says this glaive was stolen from the armory of demons. It leaves trails of elemental energy."
"Generate a name for a acid bow with the following properties: elemental, vampiric",Radiant Scythe
Write a description for a weapon called 'Radiant Scythe',"When wielded by one of pure heart, this bow amplifies magical abilities."
Generate a fantasy weapon of type: bow,"Name: Radiant Scythe
Damage Type: Acid
Damage: 1d4
Properties: Elemental, Vampiric
Description: When wielded by one of pure heart, this bow amplifies magical abilities."
"Generate a name for a physical crossbow with the following properties: enchanted, sentient, balanced",Spear of Salvation
Write a description for a weapon called 'Spear of Salvation',"Forged in the depths of Elven Glades, this crossbow glows with divine light."
Generate a fantasy weapon of type: crossbow,"Name: Spear of Salvation
Damage Type: Physical
Damage: 1d6
Properties: Enchanted, Sentient, Balanced
Description: Forged in the depths of Elven Glades, this crossbow glows with divine light."
"Generate a name for a shadow bow with the following properties: mythical, berserker",Spear of Eternity
Write a description for a weapon called 'Spear of Eternity',This bow seems to predict its wielder's thoughts when wielded by one of pure heart. The weapon seems to absorb light from its surroundings.
Generate a fantasy weapon of type: bow,"Name: Spear of Eternity
Damage Type: Shadow
Damage: 1d8
Properties: Mythical, Berserker
Description: This bow seems to predict its wielder's thoughts when wielded by one of pure heart. The weapon seems to absorb light from its surroundings."
"Generate a name for a fire hammer with the following properties: runic, enchanted",Berserker's Katana
Write a description for a weapon called 'Berserker's Katana',"Said to have belonged to Emperor Valorian, this hammer ignites enemies on contact. The weapon radiates heat and occasionally bursts into flames."
Generate a fantasy weapon of type: hammer,"Name: Berserker's Katana
Damage Type: Fire
Damage: 1d8
Properties: Runic, Enchanted
Description: Said to have belonged to Emperor Valorian, this hammer ignites enemies on contact. The weapon radiates heat and occasionally bursts into flames."
Generate a name for a arcane wand with the following properties: ,The Blazing Pike
Write a description for a weapon called 'The Blazing Pike',"This wand glows with divine light, making it terrifying presence."
Generate a fantasy weapon of type: wand,"Name: The Blazing Pike
Damage Type: Arcane
Damage: 1d12
Properties: 
Description: This wand glows with divine light, making it terrifying presence."
"Generate a name for a holy rapier with the following properties: sentient, mythical, corrupted",Mithril Scythe
Write a description for a weapon called 'Mithril Scythe',"Wielded long ago by Captain Silverhand, this rapier emits blinding light on command."
Generate a fantasy weapon of type: rapier,"Name: Mithril Scythe
Damage Type: Holy
Damage: 2d8
Properties: Sentient, Mythical, Corrupted
Description: Wielded long ago by Captain Silverhand, this rapier emits blinding light on command."
Generate a name for a lightning falchion with the following properties: ,The Tempest Axe
Write a description for a weapon called 'The Tempest Axe',"When facing overwhelming odds, this falchion binds the souls of those it slays. Small sparks dance across the surface when wielded."
Generate a fantasy weapon of type: falchion,"Name: The Tempest Axe
Damage Type: Lightning
Damage: 2d12
Properties: 
Description: When facing overwhelming odds, this falchion binds the souls of those it slays. Small sparks dance across the surface when wielded."
Generate a name for a blood claymore with the following properties: soulbound,The Jade Wand
Write a description for a weapon called 'The Jade Wand',"Forged in the depths of the Eternal Forge, this claymore never requires sharpening."
Generate a fantasy weapon of type: claymore,"Name: The Jade Wand
Damage Type: Blood
Damage: 2d8
Properties: Soulbound
Description: Forged in the depths of the Eternal Forge, this claymore never requires sharpening."
Generate a name for a blood scythe with the following properties: mythical,The Undying Sword
Write a description for a weapon called 'The Undying Sword',"Forged in the depths of Dragonheart Caverns, this scythe seems to predict its wielder's thoughts."
Generate a fantasy weapon of type: scythe,"Name: The Undying Sword
Damage Type: Blood
Damage: 3d4
Properties: Mythical
Description: Forged in the depths of Dragonheart Caverns, this scythe seems to predict its wielder's thoughts."
Generate a name for a radiant bow with the following properties: ,Flail of Frost
Write a description for a weapon called 'Flail of Frost',This bow glows with divine light when in complete darkness.
Generate a fantasy weapon of type: bow,"Name: Flail of Frost
Damage Type: Radiant
Damage: 2d10
Properties: 
Description: This bow glows with divine light when in complete darkness."
Generate a name for a chaos saber with the following properties: ,Nova Flail of Twilight
Write a description for a weapon called 'Nova Flail of Twilight',This saber hums an ancient melody when wielded with hatred.
Generate a fantasy weapon of type: saber,"Name: Nova Flail of Twilight
Damage Type: Chaos
Damage: 3d12
Properties: 
Description: This saber hums an ancient melody when wielded with hatred."
Generate a name for a lightning bow with the following properties: ,Undying Claymore
Write a description for a weapon called 'Undying Claymore',"the Twilight Assassin's favored bow, known to absorbs spells cast at the wielder. Small sparks dance across the surface when wielded."
Generate a fantasy weapon of type: bow,"Name: Undying Claymore
Damage Type: Lightning
Damage: 1d6
Properties: 
Description: the Twilight Assassin's favored bow, known to absorbs spells cast at the wielder. Small sparks dance across the surface when wielded."
"Generate a name for a fire flail with the following properties: enchanted, berserker",The Berserker's Maul
Write a description for a weapon called 'The Berserker's Maul',"A flail discovered in a hidden shrine, it absorbs spells cast at the wielder with every strike."
Generate a fantasy weapon of type: flail,"Name: The Berserker's Maul
Damage Type: Fire
Damage: 2d8
Properties: Enchanted, Berserker
Description: A flail discovered in a hidden shrine, it absorbs spells cast at the wielder with every strike."
"Generate a name for a psychic longsword with the following properties: berserker, spectral, blessed",Spear of boundless rage
Write a description for a weapon called 'Spear of boundless rage',"Said to have belonged to Queen Elyndra, this longsword protects against dark magic."
Generate a fantasy weapon of type: longsword,"Name: Spear of boundless rage
Damage Type: Psychic
Damage: 3d8
Properties: Berserker, Spectral, Blessed
Description: Said to have belonged to Queen Elyndra, this longsword protects against dark magic."
"Generate a name for a force maul with the following properties: runic, sharpened",The Ghost Trident
Write a description for a weapon called 'The Ghost Trident',"When bathed in moonlight, this maul strikes with the force of lightning."
Generate a fantasy weapon of type: maul,"Name: The Ghost Trident
Damage Type: Force
Damage: 2d12
Properties: Runic, Sharpened
Description: When bathed in moonlight, this maul strikes with the force of lightning."
Generate a name for a fire scythe with the following properties: ,Nova Glaive of Agony
Write a description for a weapon called 'Nova Glaive of Agony',Legend says this scythe was assembled during a celestial alignment. It grows in power during the night.
Generate a fantasy weapon of type: scythe,"Name: Nova Glaive of Agony
Damage Type: Fire
Damage: 2d12
Properties: 
Description: Legend says this scythe was assembled during a celestial alignment. It grows in power during the night."
Generate a name for a chaos lance with the following properties: ,The Onyx Maul
Write a description for a weapon called 'The Onyx Maul',"A lance of unparalleled balance, summons spectral allies in battle upon its enemies."
Generate a fantasy weapon of type: lance,"Name: The Onyx Maul
Damage Type: Chaos
Damage: 2d6
Properties: 
Description: A lance of unparalleled balance, summons spectral allies in battle upon its enemies."
Generate a name for a radiant crossbow with the following properties: ,Arcane Pike of Judgment
Write a description for a weapon called 'Arcane Pike of Judgment',"A crossbow born from the tears of a goddess, it drains the magic from spellcasters with every strike."
Generate a fantasy weapon of type: crossbow,"Name: Arcane Pike of Judgment
Damage Type: Radiant
Damage: 3d8
Properties: 
Description: A crossbow born from the tears of a goddess, it drains the magic from spellcasters with every strike."
"Generate a name for a physical trident with the following properties: soulbound, mythical",Bow of perfect weight
Write a description for a weapon called 'Bow of perfect weight',"Said to have belonged to Lich King Morthus, this trident emits blinding light on command."
Generate a fantasy weapon of type: trident,"Name: Bow of perfect weight
Damage Type: Physical
Damage: 2d10
Properties: Soulbound, Mythical
Description: Said to have belonged to Lich King Morthus, this trident emits blinding light on command."
Generate a name for a physical falchion with the following properties: ,Shadow Claymore of Salvation
Write a description for a weapon called 'Shadow Claymore of Salvation',"Wielded long ago by Archmage Vexus, this falchion emits blinding light on command."
Generate a fantasy weapon of type: falchion,"Name: Shadow Claymore of Salvation
Damage Type: Physical
Damage: 2d6
Properties: 
Description: Wielded long ago by Archmage Vexus, this falchion emits blinding light on command."
Generate a name for a nature axe with the following properties: ,Claymore of boundless rage
Write a description for a weapon called 'Claymore of boundless rage',"Wielded long ago by Blacksmith Durin, this axe amplifies magical abilities."
Generate a fantasy weapon of type: axe,"Name: Claymore of boundless rage
Damage Type: Nature
Damage: 2d12
Properties: 
Description: Wielded long ago by Blacksmith Durin, this axe amplifies magical abilities."
"Generate a name for a necrotic longbow with the following properties: ethereal, ancient, sentient",Frost Greataxe
Write a description for a weapon called 'Frost Greataxe',Legend says this longbow was carved from a single crystal. It summons spectral allies in battle.
Generate a fantasy weapon of type: longbow,"Name: Frost Greataxe
Damage Type: Necrotic
Damage: 2d4
Properties: Ethereal, Ancient, Sentient
Description: Legend says this longbow was carved from a single crystal. It summons spectral allies in battle."
"Generate a name for a nature axe with the following properties: ancient, ethereal, soulbound",Shortbow of boundless rage
Write a description for a weapon called 'Shortbow of boundless rage',"When confronting ancient evils, this axe strikes with the force of lightning."
Generate a fantasy weapon of type: axe,"Name: Shortbow of boundless rage
Damage Type: Nature
Damage: 3d8
Properties: Ancient, Ethereal, Soulbound
Description: When confronting ancient evils, this axe strikes with the force of lightning."
"Generate a name for a nature claymore with the following properties: ancient, blessed, mythical",Lunar Axe
Write a description for a weapon called 'Lunar Axe',"Wielded long ago by Oracle Zephyrus, this claymore can cut through any armor."
Generate a fantasy weapon of type: claymore,"Name: Lunar Axe
Damage Type: Nature
Damage: 1d6
Properties: Ancient, Blessed, Mythical
Description: Wielded long ago by Oracle Zephyrus, this claymore can cut through any armor."
Generate a name for a radiant blade with the following properties: spectral,The Tempest Scythe
Write a description for a weapon called 'The Tempest Scythe',"Wielded long ago by Archmage Vexus, this blade emits blinding light on command."
Generate a fantasy weapon of type: blade,"Name: The Tempest Scythe
Damage Type: Radiant
Damage: 2d4
Properties: Spectral
Description: Wielded long ago by Archmage Vexus, this blade emits blinding light on command."
Generate a name for a psychic pike with the following properties: ,Mace of Nightmares
Write a description for a weapon called 'Mace of Nightmares',"A pike of demonic corruption, disrupts magical barriers upon its enemies."
Generate a fantasy weapon of type: pike,"Name: Mace of Nightmares
Damage Type: Psychic
Damage: 1d4
Properties: 
Description: A pike of demonic corruption, disrupts magical barriers upon its enemies."
"Generate a name for a force sword with the following properties: legendary, berserker",Hammer of Agony
Write a description for a weapon called 'Hammer of Agony',This sword glows with divine light when facing demons or undead.
Generate a fantasy weapon of type: sword,"Name: Hammer of Agony
Damage Type: Force
Damage: 2d8
Properties: Legendary, Berserker
Description: This sword glows with divine light when facing demons or undead."
Generate a name for a holy flail with the following properties: mythical,The Blazing Glaive
Write a description for a weapon called 'The Blazing Glaive',"Oracle Zephyrus's favored flail, known to marks enemies for hunting."
Generate a fantasy weapon of type: flail,"Name: The Blazing Glaive
Damage Type: Holy
Damage: 2d12
Properties: Mythical
Description: Oracle Zephyrus's favored flail, known to marks enemies for hunting."
Generate a name for a poison staff with the following properties: sharpened,Infernal Pike
Write a description for a weapon called 'Infernal Pike',"When during the heat of battle, this staff slows time during combat."
Generate a fantasy weapon of type: staff,"Name: Infernal Pike
Damage Type: Poison
Damage: 2d6
Properties: Sharpened
Description: When during the heat of battle, this staff slows time during combat."
